Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\Lacuna-modem\Electronics\04_OUTPUT_FILES\Lacuna modem_V0.1_PICK & PLACE\Lacuna modem_V0.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       22/11/19
Time:       10:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"TAB2","WP-SMBU","40.6000","40.5000","40.8000","40.7500","40.6000","40.5000","TopLayer","0","WP-SMBU SMD"
"TAB1","WP-SMBU","40.6000","4.5000","40.7250","4.0500","40.6000","4.5000","TopLayer","0","WP-SMBU SMD"
"U2","SOT23-5","10.8500","7.7250","10.8500","7.7250","12.2000","6.7750","TopLayer","90","MIC5504-3.3YM5-TR"
"U1","E22-900M22S","10.3500","26.6250","10.3500","26.6250","3.3550","35.1250","TopLayer","180","E22-900M22S"
"R6","RES0603","13.4000","13.8000","13.4000","13.8000","13.4000","14.5500","TopLayer","270","0R"
"R5","RES0603","8.8250","13.8000","8.8250","13.8000","8.8250","13.0500","TopLayer","90","10k"
"R4","RES0603","0.9750","22.5000","0.9750","22.5000","0.9750","23.2500","TopLayer","270","0R"
"R3","RES0603","10.3500","13.8000","10.3500","13.8000","10.3500","14.5500","TopLayer","270","0R"
"R2","RES0603","7.3000","13.8000","7.3000","13.8000","7.3000","14.5500","TopLayer","270","10k"
"R1","RES0603","11.8750","13.8000","11.8750","13.8000","11.8750","14.5500","TopLayer","270","10k"
"L2","IND0402","23.5800","31.3000","23.5800","31.3000","24.0500","31.3000","TopLayer","180","4.3nH"
"L1","IND0402","23.5800","27.7500","23.5800","27.7500","24.0500","27.7500","TopLayer","180","4.3nH"
"CON1","PICOBLADE_10PIN","41.3000","22.5000","41.3000","22.5000","39.8500","16.8750","TopLayer","90","53261-1071"
"C7","CAP0603","5.9500","7.7250","5.9500","7.7250","5.9500","8.4750","TopLayer","270","1uF"
"C6","CAP0603","7.3500","7.7250","7.3500","7.7250","7.3500","8.4750","TopLayer","270","100nF"
"C5","CAP0603","15.8750","7.7250","15.8750","7.7250","15.8750","8.4750","TopLayer","270","100nF"
"C4","CAP0603","14.4750","7.7250","14.4750","7.7250","14.4750","8.4750","TopLayer","270","1uF"
"C3","CAP0402","22.8000","29.5000","22.8000","29.5000","22.8000","29.0200","TopLayer","90","1.8pF"
"C2","CAP0603","2.1000","14.6750","2.1000","14.6750","2.8500","14.6750","TopLayer","180","100nF"
"C1","CAP0603","2.1000","13.2750","2.1000","13.2750","2.8500","13.2750","TopLayer","180","1uF"
"A1","ISMP.868.35.6.A.02","22.8000","20.6000","22.8000","20.6000","22.8000","20.6000","BottomLayer","180","ISMP.868.35.6.A.02"
